Comment,Negative,Neutral,Positive
Challenging assignment  get to work in recent technology,0.00027417557,0.9874822,0.012243579
At times demanding and stressful,0.99906534,0.00077266665,0.00016201528
 Quickest way to develop your leadership skills  Many opportunities to work with people from all walks of life  Many opportunities to interact with likeminded youths from overseas  Great exposure and quick progression,0.00018825031,0.00018087807,0.9996308
 Timeconsuming especially for part time roles  Very intense and challenging for young people as it's usually the first business leadership experience  Challenging to manage expectations with your team members as most of them are volunteers,0.9989411,0.0009011251,0.00015777718
Opportunity to lead and discover your strength Focus on growth and value,0.00023446183,0.0004230407,0.9993425
Experience highly dependent on capabilities of your leader and your team. Cant learn much if you do not run higher positions,0.9978137,0.0020570005,0.0001292955
Like in a startup the potential for growth is limitless  so long as you choose to be actively involved in areas outside of your jobscope,0.0033760725,0.03616122,0.9604627
The work can get pretty hectic and may not always be the most structured,0.99913305,0.0006918494,0.00017506372
culturepeople and the network.  It is a NGO and highlights FUN so much!!!! You will enjoy being a member of this organization.,0.0004301574,0.00069729576,0.9988726
No salary is paid to normal members unless you are working for oversea AIESEC communityof course on basis that they hired you to do that.,0.00092847133,0.0012049172,0.9978667
Flexible Work visible impact on the people you work with lots of travel opportunities.,0.00022442362,0.00024040151,0.9995352
NGO wages frequent weekend work one year terms can be challenging to deal with,0.9991559,0.00067056704,0.00017359089
 Good learning experience which enhances your student life  Great for networking and meeting new people  Fulfilment of helping the world,0.00038742216,0.00031654513,0.99929607
 Will be hectic at times,0.9990784,0.0007783205,0.00014333412
Pick up many skills as well as experience.,0.0011388183,0.012933628,0.9859276
I do not feel that there are cons.,0.00035054985,0.9992768,0.00037262996
Lots of freedom to explore initiate projects and experience new stuff,0.0002041762,0.00047130816,0.99932456
Lack of good management skills and resources,0.99906844,0.00074986817,0.00018177381
Global network experiential learning organization culture,0.00019032172,0.0003219249,0.99948776
Worklife balance everything else is fine,0.00062428083,0.9986999,0.0006757512
continue to do meaningful work,0.0009605157,0.0040566805,0.9949827
nothing much to say about,0.00034517248,0.99861753,0.0010372442
Able to help humanity and vulnerable,0.00020465515,0.00018213727,0.9996132
Wish for management to be more neutral and less politic.,0.28236848,0.71698385,0.00064771465
 flexible working hours  independent,0.0007617001,0.0007223181,0.998516
 no work life balance  not much room for growth,0.99914,0.00071467645,0.00014528794
1. Get to work with people from different walks of life  2. Flexible working hours,0.00038667695,0.0008460296,0.9987674
1. Management is domineering  2. Pathetic career development in some roles. Some staff are mere figureheads. They have no significant responsibilities.   3. Straightforward processes are complicated by hiring multiple people to do sub processes of the main process. Some jobs can be successfully completed by one employee but multiple people are hired which creates great confusion.  4. Lots of cliques.   5. People who review the performance of their department are often not aware of what an employee is doing.  Leads to great misunderstandings.   6.  Some people hired in major positions are complete misfits leading to great problems for those dealing with them.,0.998648,0.0011914956,0.00016042548
 Being a part of the Red Cross movement  Opportunities for exposure to international humanitarian work   Learning about disaster relief and world issues,0.0001897624,0.00021486108,0.99959534
 Biased and unhealthy work environment due to inappropriate leadership  Lack of proper communication within organisation  Lack of proper management of fundings   Lack of relevance to local community,0.99919504,0.000633542,0.00017143914
An employment opportunity in the humanitarian sector,0.00025029771,0.0002105719,0.99953914
Every national society vary from each other widely base on their capacity and nature of operation. This review does not represent the movement as a whole,0.99549425,0.0043834257,0.00012235518
ASEF is a unique organisation and working for it is also a rather unique experience. Being apolitical but working with governments brings its own challenges as well as opportunities.  While bureaucracy is definitely there and could (as well as should) be diminished overall ASEF offers their employees a great level of liberty and responsibility to take ownership of the projects they run.  The team is small so each staff member has to step up in order for the organisation as a whole to continue evolving and improving (i.e. if you're just looking for any 95 job to put bread on the table without an actual interest in ASEF's vision and mission this is most probably not for you).  And yes you will most probably end up working a lot. But yes you will also be inspired and gratified by the work itself your colleagues your partners your participants and other stakeholders. Only you can assess if the significant efforts you will need to put in are worth your time and dedication. If you believe it is please give it a try.,0.023000939,0.9734721,0.003526871
Your experience at ASEF can be very different depending on in which department you work. None is better than the other each one has its own strengths and weaknesses. The collaboration between departments is not the strongest but you can yourself influence this if it's something that is important to you.  Unfortunately Asian and European governments are not giving ASEF or the ASEM Process sufficient support (political financial human resources etc.) which can lead to some challenges in relation to implementing projects. Expect hence having to come up with creative solutions to these and other challenges related to the characteristics of the organisation and its work.  While interpersonal conflicts have existed in the past the situation has improved the past couple of years. Such conflicts can come up again though at any time (and in any organisation/company) so it is also your responsibility to contribute (and avoid being counterproductive) to a healthy work environment if you get such an opportunity.,0.9762804,0.02349532,0.00022428411
