Comment,Negative,Neutral,Positive
Flexible working hours and good work life balance,0.0006527325,0.0005334853,0.99881375
Few or limited career growth,0.9931004,0.0067962273,0.00010336669
Incredible colleagues rooted in movement experience strong theory of change really devoted to bottom up change and the long run transformative work (for the most part though some country offices could do better) great training and learning opportunities only big organisation I've come across that at least tried to look at it's own power relations internally. Not sure where that is now. Wish this organisation very well because it is golden. I learned a tremendous amount and am grateful,0.004695356,0.03938032,0.95592433
Endless restructures that wasted time and left organisation in near constant paralysis 34 of international secretariat in time I was there. Brazilian ceo had amazing vision and powerful representative you would be proud of but completely incoherent in how he wielded power ruthless in how he treated people. Not the feminist leader he asked us to be. Disappointed ultimately,0.99734926,0.0023680322,0.00028276138
Travelling Independent diversity Skillshare  growth opportunities,0.0001546409,0.00041395973,0.99943143
Donor strategy  heavy reliance on 1 income stream,0.97509676,0.02471192,0.00019127567
 Mission driven with dedicated and skilled staff,0.0010639147,0.0011743887,0.9977617
 AA International CEO has created a highly political & insular culture of favouritism & nepotism which disempowers staff. ActionAid is a sinking ship and he is at the helm clearly scrambling to jump off . He has driven it into the ground and I would not be surprised if it folds within the next 5 years.  Awful HR & IT capacity  Corrosive internal politics  infighting between Directors & Country Directors with lower level staff often caught in between  Focus on internal politics diverts attention from the mission and organisational effectiveness in achieving its work and means that good staff are lost quickly    Very cliquey with no effective performance management nor accountability  Limited job security  numerous restructures due to various funding crises as leadership clearly don't know how to adjust to a changing funding landscape  Systems and approaches are from a different era  dysfunctional & dinosaurlike organisation,0.99903727,0.00081091304,0.00015179129
Some excellent justicebased resources for social change are created by AA There are some people working there who are actually dedicated to the empowerment of vulnerable communities,0.00018824528,0.00018964118,0.9996221
AA is a highly political organisation in a negative way. Rather than working together as a federation different country programmes vie for influence funding power and control and often times it is global north countries that dictate terms and conditions to global south countries.  The lack of clarity around projects and processes is also an ongoing issue and is so disappointing when that funding could go to local organisations on the ground who need it and are not 'professional activists' actually facing the issues outlined in such projects There is little/no internal democracy either between global north/south country programmes and less so in the hierarchical organisational structure. This also means that manager's decisions no matter how inefficient unethical sexist or shortsighted cannot be questioned or issues broached without the possibility that raising such will result in the whistleblower being let go or warned The wages paid to support staff/service providers in global south country programmes is near poverty levels and often do not include such things as health insurance or school fees aid  disappointing an organization dedicated to poverty alleviation would not start with those who work in manual labour positions for the organisation Career advancement is nonexistent in AA and it appears that if you are actually good at your job that will be seen to challenge others and they will work actively to block you Sexism and sexual harassment run rampant and complaints are not taken seriously if at all dealt with even when reported to International Auditors at AA Global north contracts for the same positions as the global south are much better in terms of time pay benefits etc. Local contracts do not include school fees help whilst international contracts do even where both colleagues are working in the same office meaning that educational inequality is actually policy in AA,0.99867046,0.001174991,0.0001544763
People orientated good benefits market related salaries,0.0003727616,0.0006749654,0.99895227
Poor performance management of staff culture was not deadline driven,0.99911577,0.000719626,0.0001646266
Privileged exposure to high level of dealing with legal matters and learning the importance of every detail in a court case.Administrative tasks requiring precision,0.5833575,0.40409335,0.012549123
Not really a downside but high levels of concentration required which could maybe make you tire easily.,0.7706651,0.22898881,0.0003460927
Company Benefits and a 13th salary,0.18823914,0.083359085,0.7284017
No Commission Structure and bad increases,0.9976554,0.0021985979,0.00014591649
Working at AIDS Healthcare foundation is a joy why i say so is that their contribution towards society. They bring wonderful changes by always making a difference buy making thing easy and helpful for others. Yes i am only working in the office but I am grateful to be part of the back bone to help and support those who go out to do good work. I come in to work with a smile on my face and give everything I have to help out and give Ideas to make work easy for others.I love AHF values and what they stand for Patient centered Respect for diversity they value the employees and they Nimble This is a awesome structure and I would love to continue working with them and travel to all the countries as AHF is wold wide. VIVA AHF,0.00040023032,0.0005551897,0.9990446
I am from SA and there are a lot of local areas that need the service that AHF give. I think if we can look in to that we can do so much more.,0.18710282,0.81219035,0.0007068828
The diverse nature of the organization.,0.0042822724,0.98063904,0.015078574
Too many volunteersa need to employee people.,0.9919042,0.007894345,0.00020150111
Multicultural good environment to learn and improve your skills,0.0002929826,0.00044043435,0.99926656
Working too many hours but you don't got paid well!,0.9991579,0.000654166,0.00018799266
You learn a lot in this position,0.003420877,0.9958663,0.0007127149
The position is very demanding.,0.99824023,0.001608251,0.00015147317
Global network; good people; impact mandate.,0.00019788419,0.00025637707,0.99954575
Regional offices could use more support.,0.0028545125,0.9967115,0.00043409568
Very fulfilling as you meet the needs of divert people of different backgrounds.,0.003317907,0.8345997,0.16208243
Lack of total commitment on the side of few staff members to go the extra mile,0.9991258,0.0007017132,0.00017247857
Diverse culture Global organisation Inclusive great opportunities team work,0.00016267407,0.00017894748,0.99965835
Growth is limited flat structure,0.9987919,0.0010987102,0.00010939973
exposed to global learning trends,0.00024482416,0.02917352,0.97058165
