Comment,Negative,Neutral,Positive
Passionate people organized system and experience compared to other youthled organizations. Lots of learning events and opportunities to meet with youths from all over the world.,0.00029141223,0.00025476108,0.99945384
Lack of sustainability and transition. Their work needs professionalism but sometimes consequences or problems demands more responsibility than they can handle.,0.9988166,0.001027758,0.00015567368
good working environment and good boss,0.00031789954,0.00025253042,0.9994295
Pay is not good enough.,0.9990447,0.00079577893,0.00015950276
 Accesible location  Can manage programs as a junior,0.00026738987,0.00042667534,0.99930596
 Broad work scope  Low salary  Not much relevant to HQ in NY,0.9991122,0.0007233493,0.00016444633
the work enviornment was clean and the coworkers were friendly.,0.005464498,0.10968977,0.8848457
I only get to work 12 hours a month. So the I could not get legallymandated paid holiday hours which is an extra payment law in korea. when you worked over 15 hours a week the employer must pay additional daily salary. So the only con was short period of working hours that I needed to get extra part time job.,0.99887556,0.0009697923,0.00015469617
 great team of teachers knowledgeable friendly hardworking.  Good holidays  Good opportunities for professional development,0.00017906258,0.00016226865,0.9996587
 Senior Management is seriously out of touch with teaching department and has little to no interest in employee wellbeing.  despite policies to protect diversity and mental health etc the reality is far from that.  Director is petty and makes decisions based on personal and unprofessional bias.  ever decreasing package of benefits.  People with a nonacademic background making academic decisions.  Decisions made solely on money over the academic benefit/ benefit to the student. When those decisions fail the teacher is blamed.,0.99894077,0.00090392685,0.0001553245
Organised good holidays good benefits,0.00021832192,0.00031672363,0.9994649
Overworked and very little prep time,0.99916744,0.0006762049,0.0001564339
Long holidays  Professional development Diverse and qualified coworkers,0.0045275167,0.9946584,0.0008140466
Poor management can be overbearing,0.9991763,0.00065086473,0.00017277195
Decent pay great holiday nice facilities,0.0003778289,0.00034371577,0.9992785
Very poor uppermanagement that makes unilateral decisions that ultimately harm both the company and employees very shortsighted (looking for changes that economically benefit them now rather than in a few years) and are very outoftouch and clearly not knowledgeable about teaching,0.9987778,0.0010674181,0.0001547337
A professional place to work. My lead teachers and managers were amazing. I enjoyed teaching the students as they were mostly eager and motivated.,0.00023911297,0.0002728382,0.999488
8 hours of teaching on a weekend was a killer but you get used to it.,0.99782217,0.0020493385,0.00012842665
Lots of feedback from managers and a focus on personal development which was beneficial for me.,0.00041335676,0.00092071714,0.9986659
