Comment,Negative,Neutral,Positive
Amazing youth organization with great people and experiences International Conferences,0.0001549362,0.00017495765,0.99967015
Life balance is sometimes hard as you are always connected,0.99500173,0.0048844377,0.000113923335
Diverse International Exhibitions Travel Internships,0.00046547546,0.99134386,0.008190654
Opportunity cost Vertical Hierarchy Political,0.98389983,0.01593264,0.00016753627
Working alongside people who care about social impact,0.00037574457,0.0009699294,0.99865425
More empathy needed between national team and local team,0.0015791692,0.9978896,0.0005313184
Finding people that share your interests and that value you for who you are.   The possibility to take leadership roles from the very beginning (I got to organize my own Alumni event after just 2 months in the org)  The international environment: the people you meet from all around the world. It is great to know that you can rely on an international network for any purposes: travelling work..  The possibility to go on an internship abroad (I did mine in Turkey for 3 months and along with my Erasmus was kind of one of the best experiences of my life).  The possibility to master the skills you are most interested in (marketing sales finance...) throught workshops conferences  The possibility to attend conferences (congresos) around the world where to improve your skills and meet people from around the world.  The possibility to always find a way to get over your weaknesses. For example I used to be null when confronting a group of people or talking in public. In order to overcome this I decided to go to Turkey to work as a monitor in a summer camp. There not only could I manage my students and give speeches in front of a camp of 100 international people but also they gave me the oppportunity to role as Speaker at a National Conference in Marmaris. There I had to prepare my speech and give it in front of all the attendants. It was awesome.,0.00041393787,0.0014085788,0.9981775
Despite my experience my relationship with Alumni etc etc I haven't got to get a proper job yet. But that is a personal issue (added to the situation of my country (Spain))....  I left after my internship in Turkey. I could have gone further but I decided that I didn't  really like any of the career areas (sales finance etc)  The culture might be shocking for most of the people (they usually think it as a secta) but I love itttttt. Dancing the rollcalls might sound creepy but they are so much fun and they really make a teambuilding!!!!,0.006314952,0.984288,0.009397095
The mission is greatAbility to work almost everywhere in the worldIntense personal & professional development (if you go for it yourself)Amazing smart people in all entities Best experience a young person can ever get both working at AIESEC or going on its exchange programme,0.00020514365,0.00028660934,0.99950826
The entities have big differences between each other so it requires positive mindset and ability to adapt fast if you want to see different AIESEC entities,0.00037684425,0.99876416,0.0008590868
 Really good to develop team work skills;  Workmates are usually really nice people;  You dedicate the amount of hours you want.,0.0002770623,0.00036850668,0.9993544
 If you wanna go to all conferences and AIESEC events you have to put money from your pocket;,0.9805859,0.019110229,0.0003039233
Follow up the work of the team leaders to ensure that the goal set is achieved and provide the support to solve problems.,0.34770393,0.08928777,0.56300825
We are allocated in a position and usually we can not choose which one we want.,0.99581426,0.0040544756,0.0001312761
Very high responsibilities a lot of independence and competent coworkers.,0.9626073,0.036181413,0.0012111828
Very challenging worklife balance even though when you enter you are advised about it.,0.9973936,0.002476217,0.00013017909
You learn how a big company works. You make lots of friends,0.0023692665,0.07533954,0.92229116
YOu don't get money. You have to invest a lot of time,0.9990074,0.0008143471,0.00017829589
