Comment,Negative,Neutral,Positive
After you submit the Post doc position and then you will get interview. In 34 weeks after interview they will contact you if you get that position. If you accept that position  HR will contact you to do the contract.,0.0009995231,0.99857855,0.00042187152
2 rounds . One general and one webinar. On webinar they asked to present previous work to lab members. Followed by Q&A session. They took 3 weeks in total for 2 rounds,0.0002922266,0.99916065,0.00054714247
I had 3 interviews one where I presented myself and my work another where I presented a paper from the employer and suggested future experiments and a last one where I met the members of the team.,0.00028590942,0.9990823,0.00063172315
The interview was comfortable and I was very nervous at the beginning but after speaking with the interviewer I became more relaxed. The interviewer was kind and the interview proceeded smoothly. In fact I did not even notice when the interview was over. The questions were designed to learn more about my personality and what I am capable of doing. It was a very promising interview but unfortunately I did not receive the position.,0.0017746736,0.99645114,0.0017741489
The interview is usually 2 rounds. First round was talking with PI PI will ask about your research corresponding experience and skillset. The 2nd round is to meet the team sometimes one by one to know each other.,0.0003550995,0.9986541,0.0009907034
It was typical conversation with friently atmosphere. They asked about me like: what I have done before what I am looking for. Also they described me the project with a small presentation they told me about the city. At the end they gave me some general advices before I take my decision.,0.0003309519,0.9990571,0.0006119499
online application through the website and online interview were the interview process. first they asked about my previous experience of research and they introduced their ongoing projects. overall the interview took about 30 minutes.,0.0014797593,0.9982697,0.0002504901
First interview was good and informitive. It was through teams and nothing serious. It was couestions bout you how you are as a person your technical interests how you work in a group and so on.,0.00045983007,0.99569845,0.0038417075
This interview was for the Covid diagnostic centre of Karolinska institute. The interview was quite casual and 1 to 1 with one of the managers. During the interview was told whether I got the position or not and immediately a trainingsession was planned.,0.39014152,0.60946053,0.00039790242
It was a great experience and different from most interviews I have attended. It was more like a conversation and very calm. Of course i had to prepare however the interviewers were so nice and made me feel comfortable and relaxed.,0.0036170841,0.19263242,0.8037505
The process interview was smooth and fast. People were welcoming and friendly. Application online by submitting your CV.  Later the first round was a skype interview with a panel of persons and finally interview on site,0.0006257052,0.020578725,0.9787956
Easy process since it the not a classical recruitment. Mainly based on CV. Basically you had to fill the criteria and get a good connection with the employer. I had a good experience on it,0.0017749247,0.99274796,0.0054771723
On zoom very casual. Mostly personal/standard interview questions very different from other more formal interviews. No sciencespecific questions from the interviewer. I was the one to discuss specific scientific aspects of the project which lead to a nice informal discussion.,0.00046382123,0.9889631,0.010573001
First talked via SKYPE. Second round is a trip to Sweden for group presentation. Need to prepare a 30 min previous research summary for presentation. Following the presentation need to discuss with the supervisor for future plan. The University contract process is actually very quick.,0.0009356417,0.9891912,0.0098732915
It was through an email application. I sent my CV and cover letter to the responsible HR of the unit and after two days I got her email with the job congrats. I was lucky and happy to take the parttime job. It was great to meet with international students who have the various background.,0.00025517595,0.00069089927,0.9990539
Selection by CV followed by online interview (sometimes there is small test aiming to understand your critical/analytical thinking by reading and interpreting a scientific paper. Not a big deal). Once among the top 3 invitation for an onsite interview.,0.00034060105,0.9959377,0.0037216533
After sending application one or two Skype interviews with the boss. Afterwards personal meeting with boss and division in the Institute. Had to present my previous work and talk to current employees.,0.0014870717,0.99833727,0.00017563085
One Skype meeting. We talked about the position and requirement as well as my skills. I presented myself and my PhD project. We discussed about the projects and how I can work on these projects.,0.00030793383,0.99771,0.0019820535
Very relaxed. Stayed for a day including lunch and got to talk to many different people of the group/department. Everyone was very friendly and open. I was shown around the lab and offices and met already a good number of people I later worked with.,0.000775403,0.04968136,0.94954324
Was difficult to reach the group leader by email (he treats job enquiries as junk email for the most part) so had to call but he didn't pick up his phone; finally got a secretary to take pity on me and give me his cell phone. From there it was a brieze.,0.9983815,0.0014854821,0.00013303725
Group interview with a half hour presentation and half hour group discussion. Then interviewed by each member of the group. It is normal to start with a half year internship as research student and then to be registered as PhD student if they are happy with your performance,0.040281802,0.9593854,0.00033283362
The process was not so formal then. I contacted the supervisor and asked for an opening and if was able to bring home a grant on their idea which i did then they were happy to take me on after the money was in,0.0005085162,0.99461114,0.00488036
you start with preparatory course before starting PhD program. sometimes there are many shadow students who have not been registered for many years but now a days it seems to be more transparent. Before you register as PhD student you do 612 months preparatory program with starting of future phd studies and then in your PhD registration seminar you show preliminary data with 4 years program to the committee.,0.0021506867,0.9975746,0.00027475756
Experience in the related field is what counts mostly. Secondly being innovative and passionate in your field is also necessary. Having a journal publication and poster presentations will help very much and also of course good communication skill,0.003826982,0.61123955,0.3849335
The 1:1 interview focused on discussions of my research experience leadership experience communications experience and vision for a specific project. The employer was searching for someone who could switch between and integrate different resolution levels involved in project management from the design implementation analysis and interpretation of specific experiments to the recruitment management and training of team members to tactical decision making on project directions and also strategic decision making on long term project development and targeting.  A presentation to the host laboratory involved explanation of past findings methodological capabilities and most critically vision for the future of the project in question. Q and A was open ended but focused predominantly on scientific findings rather than project/management issues.  An extensive document (fitting a KI proforma) was required detailing past research training management and leadership experience. Publication lists conference and invited speaker presentations patents/licenses held commercialisation history and awards/fellowships/grants were all key parameters for external review by internationally renowned professors.,0.057957165,0.941458,0.0005848308
Had to work hard to make contact with group leader  they get tons of junk applications so if you don't hear from them by email don't give up. Emailed a couple times no word. Started calling office no answer. Eventually after many calls over a couple weeks was forwarded to secretary who took pity on me and gave me his cell phone number made contact. At this point he was already impressed which made the rest a lot easier. Flew over at group leader's expense. If you visit other group leaders there say so or they will get very annoyed. Made a research presentation (unusual for PhD studentships) two 1:1 interviews one with group leader other with close collaborator in the department. Very straightforward although I was familiar with the field no surprises no brainteasers. Generally was a discussion of projects science and personal history. Offered idea for a project which was clearly appreciated although equally clearly not seriously considered. Met lab members who described ongoing projects in the lab. Lunch with the boss and collaborator. Dinner with the lab minus boss. Overall exciting fun interesting busy and lots of information to absorb.,0.007237659,0.98936415,0.0033981511
I received the phone interview at first and was invited then to visit the place. It was a oneday interview and nearly every member of the group had a brief discussion with me introducing their work. Finally I had a private conversation with the group leader about my future work and research topics.,0.0007668055,0.8710197,0.12821345
I received an email after application stating that my application was under review. A few days later I received an email for setting up a Phone interview appointment. It was an enjoyable interview and many questions were asked many general some on the philosophy of research and some about the practical considerations of the job. Then I was asked to visit the workplace for a 1:1 interview. I made a presentation of a about an hour and was interviewed and got to meet with many people at various levels in the organization. At the end of the day I was asked for my opinion and consent and also offered the position. It was a very enjoyable process overall. The phone calls were prompt and things were well taken care of.,0.00058451405,0.004673546,0.9947419
one interview with supervisor for about one hour pretty smooth process. also talked with a phd student that I will be working with. was given a week to make my dicision.,0.0014892645,0.9576965,0.04081419
no interview you can apply directly to the teacher. The teacher will also email past students when there are positions available. You can contact your teacher when there is the position available.,0.0005382954,0.99908817,0.00037352619
It was one interview with two supervisors. The process took around 40 minutes. After the interview I asked the results two weeks after and they told me that they were still in the process. Then I heard nothing from it. In the end I found the position filled without noticing me that they have made this decision.,0.06539361,0.93438303,0.00022335089
The interview was short effective and not stressful at all. The interview had two parts. The followups though were hard and stressful. But my motivation and followups finally worked and I got an offer for two positions which I could chose from.,0.0018381771,0.9780914,0.020070396
Long (80 min.) interview with some tough but fair questions both regarding personality and fieldspecific knowledge. Enough time for my own questions. Overall more relaxed atmosphere once the tough questions were done.,0.0014536423,0.9952685,0.0032777665
Cover letter: give an overiew of you personality and present all  the required documentation rearding your previous university studies and english proficiency. Focus also on your academic interestes and the reasons why you are applying.,0.101877704,0.8973916,0.00073070574
The interview process is an absolute sham.The interviewer rejected me because I had lacking communication skills. And gave me the example of forgetting to say hi. The professors are super spoiled and racist and seek every opportunity to reject you if you are not European.,0.9990121,0.0008397043,0.00014820785
Short and friendly the focus was on finding a good personal fit and discussing my background. The interview was more about them selling the job than me selling myself.,0.0011227524,0.9974075,0.001469735
Not professional at all. Supervisor was wearing pijamas during the interview process. Very biased interview. I felt the supervisor was interviewing just to follow the protocol as she had probably chosen a candidate beforehand. I was told my age was an issue (I am 30 years old with 5 years experience on the field which is ridiculous),0.9982626,0.0015893718,0.00014799682
