Comment,Negative,Neutral,Positive
great chance to develop new skills and experience a multicultural international work environment,0.00019089929,0.00022287591,0.9995863
low salaries and relatively low rate for worklife balance,0.99912673,0.0007061472,0.00016706009
A supportive environment in which everyone places confidence in you.  Established global network.  Established tools (internal working systems materials etc).  You can have a lot of ownership and freedom to create your own team project...  Highly recommend for students to gain practical experiences before going to real 'office jobs',0.00033105857,0.0003812337,0.9992878
If you are a type that needs someone to give you work details from AZ this is not a place for you. AIESEC is all about making mistakes learning from it and making ambitious things in a short period of time. Basically this place gives you a choice whether you want to go big or go home so you may hate it or you absolutely love it.,0.9941427,0.005491345,0.00036600357
You have the chance to build an incredible network and learn how to run your own recruiting agency.,0.00034230956,0.00038084137,0.9992768
It is difficult to combine with full time studies and it is challenging to manage or inspire volunteers who may not have the same expectations.,0.99885356,0.0010002566,0.00014621731
great possibility to network and develop entrepreneurial and soft skill possibility to get a scholarship,0.0001991725,0.00020126329,0.99959964
Lack of time to develop all the hard skill,0.99912745,0.0007184451,0.00015415912
Location well situated and stimulating,0.00026800507,0.0017368128,0.99799526
‎‎‎‎Covid has placed restriction on the workplace,0.98580235,0.014017597,0.00017998743
Promote networking and a good atmosphere among students.,0.00017238736,0.00021073937,0.99961686
Coordination among universities could be improved.,0.003034864,0.9965252,0.00043995364
We had a great team working together cooperating on tasks and could always discuss our different opinions on how to solve something to get the best result. A very interesting organisation to work for.,0.00031265436,0.00048108524,0.99920624
It can sometimes be a bit depressing to hear about how we pollute the world. Although Greenpeace is fighting to make a change it made me feel that there will be too little time to turn the pollution and climate change around.  As a developer there were not much career opportunities.  But those are the bad things I can come up with from my perspective.,0.99889153,0.00095888047,0.00014950642
 Coworkers were great while everything worked well.,0.0020789946,0.9943199,0.0036011846
