Comment,Negative,Neutral,Positive
L'entretien d'embauche s'effectue avec les médecins responsables de la structure et une responsable en ressource humaine par Visio. J'ai du les relancer à plusieurs reprises avant de pouvoir obtenir un entretien d'embauche.,0.0010373124,0.994783,0.0041797394
Case dependent. Could be lengthy need to be standardised notification back could be better requirements to be streamlined recruitment process need to be formalized better shortened. Job advertisement to be made visible better and timelines to be defined.,0.6674864,0.33184916,0.0006644071
Very fast process: I was contacted within a week of applying. I had one Face to face interview with the hiring manager no prescreen interview with HR. A job offer came within 24 hours.,0.01702242,0.21210614,0.77087146
J'ai effectué plusieurs entretiens j'ai eu la possibilité de rencontrer l'équipe en amont et j'ai eu un test de personnalité avec les RH ainsi que la restitution du test. Les délais étaient assez courts j'ai eu la réponse par téléphone et la possibilité de signer le contrat rapidement.,0.001009516,0.99704945,0.0019410269
Poser un dossier (complet) à l'administration spécifique du secteur qui vous intéresse. Ensuite on attend d'être sélectionné ou pas. Si on est sélectionné on fait un premier entretien devant tous les PIs si par la suite nous sommes sélectionnés par un PI et il y aura un entretien personnel sinon rien.,0.00079475757,0.99734145,0.0018637499
Entretien avec différents représentants de la structure à différents niveaux en plusieurs étapes avec la présence ou non de représentation des RH puis avec l'équipe. Un test de personnalité est également effectué et interprété ensuite.,0.00072725007,0.9969995,0.0022732755
L'entretien s'est déroulé en 4 étapes : 1) 1er entretien pour la présentation de l'offre 2) test sur Excel 3) feedback du test sur Excel 4) entretien avec le N1 N2 et la RH. Ce dernier entretien s'est très mal passé surtout du fait de l'attitude du N2 et la Responsable RH. Ces 2 personnes se sont montrées méprisantes se pensant intelligentes.,0.00048093888,0.99698347,0.0025355122
Premier entretien par téléphone avec le manager puis deuxième entretien en face to face avec le manager et une personne des RH. Tout le processus de recrutement fut très clair.,0.0006987611,0.99686205,0.0024391685
J'ai eu deux entretiens et j'ai rencontré l'équipe (mes futurs collègues) au second. Bonne communication par email. Entretiens un peu serieux mais pas particulièrement difficiles. Ambiance plutôt froide distante mais professionnelle.,0.0005573468,0.97963387,0.019808719
Entretien dans le café du chuv présentation du poste et des futurs collègues et visites du sites du travail réponse de la candidature en moins de 2 semaines très satisfait et très accueillant pour une première approche,0.00066149014,0.9928208,0.0065177805
Candidature en ligne puis entretien téléphonique après cela deux entretiens...dossier personnel à l étude soit environ 3 mois très long ..être patient questions classiques ...mais tournées vers l humain bonne institution salaire moyen,0.00054862624,0.99772877,0.0017225523
