Comment,Negative,Neutral,Positive
Impact driven organisation with longterm vision,0.0003184858,0.0004300447,0.9992514
Able to act autonomously and independently,0.00033877554,0.0008615751,0.9987997
Feel good about your work,0.000215412,0.0004616272,0.999323
Travel all the time.  Personal life limited.,0.9986149,0.0012542636,0.00013088193
Impactful Contribution: AIBA provides an opportunity to make a meaningful impact on the sport of boxing at a global level. By working for AIBA you can actively contribute to the growth development and promotion of amateur boxing fostering the talent of young boxers and shaping the future of the sport. International Exposure: AIBA's global reach provides employees with the opportunity to work in an international environment collaborating with professionals from different cultures and backgrounds. This exposure can broaden your horizons enhance your intercultural skills and expand your professional network. Professional Development: AIBA offers avenues for professional development and growth. Working in a dynamic and challenging environment you can gain valuable experience learn from experts in the field and develop new skills that can benefit your career in sports administration event management athlete development or other related areas.,0.00016019387,0.00036766578,0.9994722
Governance Issues: AIBA has faced significant governance challenges including allegations of corruption and mismanagement. These issues have led to the suspension of AIBA's recognition by the International Olympic Committee (IOC) and have negatively impacted the organization's reputation. Working in such an environment may involve navigating through ongoing governance and administrative difficulties. Uncertain Future: Due to the loss of Olympic recognition AIBA's future is uncertain. The association's ability to regain its status and restore its position as the governing body for amateur boxing remains unclear. This uncertainty can impact job stability and prospects for career advancement within AIBA.,0.99880826,0.0010652298,0.00012652733
You will learn how to deal with volatile egotistic and abusive senior management in a way that will serve you extremely well should you ever need to look for a job somewhere like the North Korean government. You will also learn how to watch your back develop a skin thick enough to make a rhinoceros look like a pin up model for Nivea skin careand to understand what a reign of terror and a failing organisation looks like from the inside. Perhaps more usefully you will also be able to compare job hunting strategies and CV's with the entire staff and join a voluminous underground network of sympathetic exemployees.  To other employers please note that the majority of midmanagement level employees at AIBA are extremely hardworking competent people. They will genuinely be improved as potential future members of your team for having been through the pressure cooker that is the International Boxing Association (AIBA).,0.66986364,0.32782602,0.0023102956
 80% annual staff turnover.   Roughly 1/14 chance of being fired every month. (on average 12 members of staff leave or are fired every month)  A borderline psychopathic and egomaniacal senior management team led by the most ruthless and incompetent CEO imaginable.   A culture of bullying  Creativity undervalued.    Some staff last less than three months. 75% last less than a year only two or three members of staff have been in place more than 2 years.   There is no historical knowledge of the organisation internally (unsurprisingly). This can create problems.   The revolving door policy complicates project delivery.  Staff are underpaid Bank holidays are not respected. Holidays can only be taken in week long blocks  single/double days not allowed  No overtime is paid or compensation time is allowed for weekend or late night work.   For some staff 16 hour days are expected between November and May.   One member of staff recently completed a 25 hour working day! Another member of staff was fired on the spot for contesting this situation.   They are planning to relocate. But no one knows where to this is creating uncertainty.    AIBA is running out of key suppliers and partner organisations at an alarming rate owing to mismanagement of those relationships.   New staff are no longer arriving fast enough to replace those fired meaning that existing employees are further stretched.  Two people have left in the last 6 months suffering from acute depression/nervous breakdowns  Staff and senior management have needed to be separated in the past as arguments became physical.  Most surprisingly of all insufficient care is given to the sport the athletes or the Olympic values. This is highly demotivating. There is a lack of former athletes and boxers on staff (as they have all left) this undermines the required knowledge base.   Finally extreme caution should be exercised when accepting a role at AIBA. Any role is almost certainly not very secure particularly if you are considering relocating from abroad. Careful study of Swiss prices (esp rent) should be examined before entering into salary negotiations as Switzerland is extremely expensive and what may initially sound like a large income can in reality be insufficient.,0.99898857,0.00086145336,0.0001499532
Colleagues are friendly. Traveling are interesting and give the opportunity to meet a lot of people.,0.00020524945,0.00034015364,0.99945456
The high management is not very professional,0.9990639,0.00077585725,0.00016032768
Excellent sport Exciting opportunities Growing fast Networking with other IFs Travel,0.00015488232,0.00017479576,0.9996704
Management structure style Lack of HR structure and policies Funding issues Lack of expertise in critical areas Lack of accountability No job descriptions Working environment,0.9991429,0.0006984367,0.00015870646
International status  Olympic event organising experience  Multicultral work force,0.0006531324,0.08882041,0.9105264
High Level Corruption (bribable)  Athletes and economically weak sports federations systematically being ignored  Flawed ideology  Poor working enviroment  Lack of respect for staff free time,0.99919015,0.00064480084,0.00016508017
 GA included  great team  a lot of responsibility,0.021017022,0.8542684,0.124714606
 not that well paid  limited to one year,0.9934987,0.006223704,0.00027765209
I learn so much about HR practice: I manage the recruitment process interviews and onboarding. I also manage the monthly engagement assessments.,0.008023335,0.9905669,0.0014097287
Sometime AIESEC can look like a cult.,0.99529135,0.0045380252,0.0001706523
Access to many opportunities of personal & professional development.  Lots of travel networking involved. A chance to lead & manage big teams & challenges at a young age! :D,0.00017872803,0.00021590732,0.99960536
Depending on lots of people to get the work done. Lack of worklife balance.,0.9991002,0.0007332126,0.00016668215
Very challenging roles High degree of independence and flexibility Focused on leadership and personal development,0.9767553,0.023038566,0.00020611598
Poor worklife balance Structural organization changes happen often and are unpredictable,0.9990646,0.00078163424,0.00015378746
People the are very helpful since 24 April the move to new location whish is very nice with new equiment.,0.00020441572,0.0016440765,0.9981515
If I have any question they are beeing answer back to me per phone or email.,0.00056751707,0.99893683,0.000495574
