Comment,Negative,Neutral,Positive
I like to work with AKDN,0.0003452931,0.99836415,0.0012906485
I do not like salary,0.9984425,0.0014119275,0.00014551876
Ambition Help develop ideas for the development of work The reputation of the bank Willingness to work together,0.00026633078,0.000530094,0.9992036
Long working hours Working conditions long distance to our home,0.999213,0.00061583944,0.00017113707
gaining experience at a humanitarian organization,0.00040176275,0.0005457159,0.99905246
I think there was no cons,0.0003337053,0.9991703,0.00049591996
Working with great colleagues is one of the most important manners while working at DRC. They are very skilful in what they are doing and they have always encouraged me to develop myself.,0.00039673722,0.0005204509,0.9990828
One of the cons is that the implemented ERP still has several issues which should be solved and the system has many strengths which are not used.,0.9970462,0.002845996,0.000107820255
The systemized method of work,0.84374887,0.1537125,0.0025386561
The MEAL departments is seen as an external burden,0.99870396,0.0011341388,0.00016193598
good team communication salary the community center locations,0.00024602757,0.00028487647,0.9994691
pressures take long time to be done,0.9990663,0.00075811404,0.00017564566
Good support system Simplified work processes.,0.00025663283,0.00022478445,0.99951863
Salaries are not too good. For Expats determination of RnR is not fair,0.99906164,0.000784864,0.00015352647
team work great experience nice job,0.0009736067,0.0011579981,0.9978684
there is nothing to say it about that,0.00030420808,0.9989617,0.00073408
the salary is good as you live in syria,0.020141786,0.120482214,0.859376
 very bad management plan   we are not strong in Syria and afraid form any new step,0.9989863,0.00089261675,0.00012108605
The DRC  work is good there is good coordination among all departments,0.0002433945,0.00046335167,0.9992932
Some Delay  There is some central decisionmaking,0.00671207,0.9930432,0.00024484098
It is the best place to work,0.0003083089,0.00030899444,0.9993826
I think there is not negative notes,0.00035504092,0.99898237,0.0006626614
Very well organized and respectful,0.0027113487,0.0076017515,0.9896869
Sometimes working in difficult context,0.0025304265,0.99714905,0.0003206168
Great mandate and great colleagues trying to make a difference.,0.0002914087,0.0002714814,0.99943703
Mission often frustrating because difficult to achieve. And challenges often (seem) bigger than the impact.,0.9989343,0.0009310723,0.00013455814
The humanitarian approach and the principles,0.0031658811,0.47138393,0.5254502
HR system is not much supportive,0.99902964,0.00083384046,0.00013651222
good work environment and healthy and friendly,0.00020181356,0.00020333724,0.99959487
Salary comparing to the currency rates is low,0.99852294,0.0013353418,0.00014182372
Organized environment and strong management,0.002884577,0.0019315089,0.9951839
nothing to mention It's just a great place to work,0.0063813273,0.21380505,0.77981365
Very comfortable work environment to improve yourself,0.0034655486,0.011246339,0.9852881
Right now it is just a part time job.,0.0016453817,0.99800164,0.00035300947
Great atmosphere  Great colleagues  Great mandate,0.00026250997,0.0003031981,0.9994343
