Comment,Negative,Neutral,Positive
A great place for students to learn hard and soft skills that can prepare them for future employment and career development.,0.0003451794,0.0002899305,0.9993649
hard to balance with studies.,0.9987275,0.0011526156,0.000119858145
Opportunities to work with and learn from the brightest students from different countries and collaborate with corporate partners.,0.0002672772,0.00036184612,0.9993709
Good time management and initiative needed. Not as relaxing as other student organizations.,0.99594057,0.003825117,0.00023434742
we can certainly learn something from the experience.,0.0004470472,0.9989147,0.00063827453
It consumed most of my time that I wish I could spend wisely like finding an internship or a job before graduation.,0.9961436,0.0037222044,0.00013419105
1) Got to learn a lot as a student.,0.0045985896,0.99508923,0.0003121647
1) Took too much time to manage.,0.9976528,0.0022403738,0.00010677132
Friendly coworkers and friendly environment.,0.00018643426,0.00020438049,0.9996092
GM are slowly thinking therefore change may occur not so quickly.,0.028901912,0.9709355,0.00016257471
free for everyone can apply remote work once a week,0.00094344985,0.01901834,0.9800382
less salary addition maybe add 2% for 2 years employees,0.016518591,0.98291415,0.00056728616
rich resources eight hours good salary,0.0848782,0.0860023,0.8291195
sometimes work loading hard not provide lunch one hour break,0.9989303,0.00089058606,0.0001791317
Convenient  Professional Smart Legit Justice,0.0001888986,0.00039773918,0.9994134
Struggle Take to much time to sign in,0.99842846,0.0014032072,0.00016837998
nice to work with nice to work with,0.000246193,0.000811707,0.9989421
salary is not high enough,0.9989761,0.00084472523,0.0001792469
The students are nice and attentive,0.0034966613,0.5582373,0.438266
Pay can be slow on some contracts,0.9990606,0.0007749729,0.0001645321
It's a stable job. The manager and colleague are amity.,0.0015849049,0.99305046,0.0053646076
No challenge and no free space let you make any innovation,0.998175,0.0016516987,0.00017328227
Look like a start up company due to it constant change of worker. Good learning place for fresh grad if plan to work in travel industry.,0.00031960526,0.00039831927,0.99928206
Have to take charge of everything from planning booking flight/hotel/rest/coach/guide/tickets liaise with tour leader administration work and etc. Have to be 24 hours on call.,0.9987204,0.0011103462,0.00016933323
Steady way to earn money and experience as a student,0.9983941,0.0014492756,0.00015662202
The pay is standard and your experience will depend heavily on which teacher you are working for,0.99872535,0.0011349428,0.00013960559
I am a PhD student,0.0003091117,0.998626,0.0010648308
Everything is consider not optimal since its COVID,0.99794406,0.0019330563,0.00012286584
The greatest hospital of Taiwan,0.0002687248,0.0006538984,0.9990773
Very busy and exhausting you won't be pay if overtime,0.99915254,0.0006717572,0.0001756826
Good pay compared with others local hospital,0.099205256,0.64695656,0.25383818
