Comment,Negative,Neutral,Positive
Nice sexy teachers and good deli,0.00051436515,0.0006089346,0.99887663
Parents control the school and admin does nothing,0.9987011,0.0011307886,0.00016815345
Ambitious good place to learn and fail supportive ownership,0.12747976,0.73972046,0.13279985
Talents are university student and they are part time,0.0070623267,0.99182373,0.0011140143
Everyone is youth and passionate about their job. The benefit is the diversity of people and skills you get to work with and develop along your journey. Great for learning!,0.00020575011,0.0003629716,0.9994313
It's a one year job! Benefits are low. It should be recognized and heard of even more than it is right now.,0.9990054,0.0008412817,0.0001534079
it is a very student friendly working environment that allow you to express your skills and be as creative as you like.,0.00021368873,0.0002452712,0.99954104
Because it is a youthrun organisation there are always unexpected problem due to unprofessional skills. The worker needs to learn very quickly.,0.99857545,0.0012826872,0.00014187246
 Incredible learning opportunities in a wide range of fields.  Culturally diverse environment.  Growth focused work.,0.00021601484,0.00021375716,0.9995702
 Time consuming at first  but you'll get better at it as the time passes.,0.007933174,0.9913657,0.0007011251
It was nice in every aspect. I am so proud to be to part of this organization,0.0007874587,0.008506257,0.99070626
As most of the people here are student they don't have proactiveness,0.99528694,0.0045801206,0.00013287707
 Worked experience in multiculture environment  Developed administrative skills  Culture values  Real Experience work,0.00044721778,0.0006822903,0.99887043
You need to manage your time for your study friends and yourself,0.00094832166,0.9984958,0.0005558947
Good work environment. Friendly and passionate colleagues. Lots of work to do if you are easily bored. Amazing partners organizations to work with.,0.00040552593,0.0003935105,0.999201
Too much work sometimes and had to work during offhours or weekends. Little paid salary because it's a NGO. Worklife balance is difficult.,0.9991787,0.0006550468,0.00016627721
nice atmosphere good teams. ok vacation.  nice carpet.,0.0003118862,0.0008299945,0.9988581
not enough sleep time in the afternoon. ok air conditioning.,0.99876827,0.0010948791,0.00013681063
Good work environment and money,0.0004586492,0.0003340342,0.9992073
No outlook for promotion anytime soon,0.97751915,0.022371842,0.00010897465
They leave you alone and let you teach what you want.,0.0008725752,0.99799263,0.0011348489
The students are out of control. They sleep on the floor in the back of the room during lessons.,0.999131,0.0007010111,0.00016792207
The fellow teachers are really good and many of the parents care about education.,0.0013193939,0.019548744,0.9791318
