Comment,Negative,Neutral,Positive
I had a very pleasant job experience with them.,0.0037947332,0.22013748,0.77606773
I don't have anything to complain about.,0.00040203516,0.9992532,0.00034472902
If you want improve yourself in business you can be volunteer in AIESEC,0.0037946731,0.9937499,0.0024554648
You must choose your priority otherwise AIESEC may affect your education life,0.0044492674,0.99524516,0.00030557284
Team working leadership team bulging presentation skills,0.0009922645,0.0020216412,0.9969861
Communication languages turkish english time management,0.0003032474,0.99754274,0.0021540334
Warm culture and supportive environment,0.00017089596,0.00017895435,0.9996501
I could not see one yet!,0.00040440823,0.99920815,0.00038752225
Amazing Culture and People Chance to develop yourself  Being a self aware person with this organization Learn how to be a leader,0.0003232045,0.00035315374,0.9993236
Hard to implement worklife balance,0.99904996,0.00080182415,0.00014810296
developed leadership communication presentation and language skills,0.0017345498,0.0044758483,0.9937896
The living expenses and procedures pour visa,0.01758961,0.98199606,0.00041433366
Values vision working environment youth energy,0.0010052249,0.005435454,0.99355924
Amateur spirit lack of competitive talent,0.99890316,0.00095170166,0.00014521138
culture worklife balance job security,0.0008105568,0.9976763,0.001513152
Low salary hard to promote unpaid overtime,0.99916124,0.0006660982,0.0001726952
Great place to start a new career.,0.00029140184,0.00031036284,0.99939823
It is not a technology based place to work.,0.9990984,0.00073436665,0.00016716914
I am quite happy working with them. They have a professional translation team. They are friendly  wellorganized give humanly reasonable deadlines for their translation assignments and their translation rate per word is fair.,0.0006868637,0.0012108659,0.99810225
Not enough translation work into Arabic.,0.996566,0.003323981,0.00011006809
loyalty  the best company about ivf business,0.00022562138,0.00025118064,0.99952316
boss company so busy  turnover,0.9988531,0.0009997773,0.00014712884
Good and proffessional working conditions.,0.00028920334,0.00031346685,0.9993973
There is no bad thing about it.,0.0004171869,0.9988825,0.00070027955
British Council encourages diversity among gender and ethnic identity,0.9933971,0.0063885953,0.00021426314
I cannot say anything bad about the company,0.00576589,0.99367934,0.00055479084
Good colleagues Trustworthy organizationProfessional examiners,0.00017567564,0.00019973806,0.9996246
Low Salary Poor Technical Equipment,0.99915123,0.0006925945,0.00015613821
Interesting and exciting work and networks,0.00019447229,0.00028941323,0.9995161
Limited career progression and promotion opportunities,0.9991517,0.00070925296,0.00013904694
 People are so friendly  Easy to learn the job  Easy to adapt,0.0006353736,0.001426178,0.99793845
 Unfair hourly rate for Usher work  Demanding work  Unclear work load,0.9991473,0.0006821723,0.00017055753
Flexible working  international stakeholders easygoing work environment,0.00017625293,0.00018551864,0.9996382
Bureaucracy average pay top to bottom approach in how we work,0.9990722,0.0007621898,0.00016548863
Fun to meet people and teachers around the country.,0.00018135742,0.00034296396,0.99947566
Long hours and often toxic environment.,0.9992174,0.00062054285,0.00016202973
renown and prestigious brand across the world,0.31058535,0.68762517,0.0017895243
low pay and at times incredibly stressful,0.9992105,0.0006217663,0.00016776401
Good worklife balance. Offering good benefits for the employee.,0.0002580923,0.0002735279,0.9994684
Lack of support from management.,0.9991436,0.00070855825,0.00014785337
Good environment and nice colleagues,0.00019568256,0.00019724254,0.99960715
Everything was nice and nothing bad to say,0.0005335481,0.9989266,0.00053975196
Get expriense in detail about nutrition and nutrition humaniterian intervention,0.0007300597,0.99820614,0.0010638234
Low paid one and no outdoor services,0.99913615,0.0007034427,0.00016042968
They really value employees and provide flexibility to people based on their life situations if they are interested in keeping that employee around.  Dedicated staff at all levels of the organization,0.007265488,0.005711776,0.9870228
HQ is very churchdriven as you might expect which sometimes can be frustrating when you're working in the field in a context very far from church politics and dogma Work/life balance is often hard to find Compensation is below industry standards,0.9987301,0.0011149179,0.00015487999
great leadership lots of opportunities,0.00030828634,0.00027062662,0.9994211
far from center average salary rates,0.9988834,0.0009522393,0.00016432577
Professionals good extra benefits long term aggrement,0.00023877271,0.00023819318,0.99952304
Low salary compared other NGO,0.99778664,0.002071398,0.00014192189
Solid rules developed at the HQ,0.0071738213,0.2101886,0.78263754
Week recruitment is a barrier to success at field,0.99909997,0.00074480224,0.00015535044
capacity building opportunities team building,0.0004523653,0.017199242,0.9823484
communication and information relating to the contents,0.00023885218,0.9964251,0.00333597
great opportunities for career advancement,0.0002972078,0.00026205395,0.9994407
Middle managers can be problematic,0.99886864,0.0009886433,0.00014270561
Have very dedicated and committed staff working for them.  The pay is good.,0.0007262071,0.000970539,0.9983032
As mentioned by many above DRC has grown very quickly and its systems and procedures have not caught up.  There is no shared vision or any sense even that such a thing is helpful.  The subsequent organisational drift is compounded by the gap in their espoused values and their actual ones.  During my time focusing on staff welfare our research showed that the biggest stressors for staff may of whom had fled conflicts came not from the external environment but from DRC itself!    Poor communication and coordination temporary contracts staff often working long hours without contracts or adequate resources or time for training or teambuilding results in an a stressful blame culture.  And I have seen these same patterns in different DRC country offices. Head office are on another planet.  Their approach is target based mechanistic and occasionally addresses real needs.  Often because of poor participation and the culture of frenetic busyness their programs have questionable impacts and this confusion often sabotages the very goals they want to reach!  If they were a private company in the market they would have no customers and would've been shut down years ago!!,0.9988392,0.0010180796,0.00014278281
comfortable  placeworking as a team organized work,0.00018723065,0.000599525,0.9992132
you need to have turkish nationality,0.00068321935,0.9984975,0.0008193149
You will have network all arounf the world sustainable project job opportunities dynamic and adapt to the changes.,0.00032502462,0.003936543,0.9957384
İf you dont dedicate yourself some project might bring lost of challenges.,0.9930633,0.006825669,0.00011104039
