Comment,Negative,Neutral,Positive
It’s a long process from start to finish. I had multiple interviews with multiple department heads. Had 2 phone interviews and 2 in person interviews. You start out with two phone interviews and then you move to inperson interviews. You meet multiple directors and other fellow admission counselors.,0.9934691,0.0063513983,0.00017947894
Quick responsiveness to schedule interviews. You'll do a panel interview where you'll meet with leadership potential manager and coworkers. They do a brief presentation about ACU and your role. You'll shadow a coworker for 3045 minutes before finishing up the interview. You'll typically hear back within a few days.,0.00032367927,0.99909604,0.0005802987
THis was a few years ago but it was minimalat the time There was no online teaching and they seemed to give the most weight to past and current experience.,0.002180194,0.99758613,0.00023369775
it was super friendly.The interviewer was respectful and the whole process was open communication. They take references into consideration and they will probably know you or know someone that does your professors or classmates.,0.00387012,0.66376984,0.33236006
I met with a committee.  Even though there were several people they made it very comfortable.  They were prepared with multiple questions and very organized.  They made ACU a very inviting place!,0.00022634736,0.000656752,0.99911684
The process was not only easy but it was also rather straight forward.  From beginning to end I knew where I stood and nothing was out of the ordinary at all.  Great!,0.003106055,0.060356926,0.936537
You just meet with a person within the department. I suggest conversing with one in advance. I discussed the opportunity of being a G.A. before entering a grad program. Then obviously you just apply online,0.0006055192,0.9989121,0.00048243158
Great experience for students that wants to get a job.  The interview was very professional and the interviewer was very helpful and easy to talk to. It's a great experience for students who wants to try get a job in college,0.00019254061,0.00021650274,0.99959093
Walked in and was hired on the spot.  Asked about class schedule and other extra school activities to build a schedule.  Pay is low but very flexible job for school.,0.99887973,0.0009458294,0.0001744366
Face to Face 2 interviewers the environment was comfortable as we sat at a conference table. offered drinks and small talk. very passionate about Christ centered education and very good listening skills by hiring team. Encouraging and honest about job,0.00018004395,0.00021940652,0.9996006
3 rounds of interviews. Company looking to uphold christian values. Management experience is preferred. Experience with education IS A MUST. You will be working with students the majority of the time. They are looking for leadership team work experience and work ethic.,0.20582329,0.7933828,0.00079391303
Formal process. All application and information submitted through HR. Phone interview first followed by inperson interview.,0.0003426413,0.999044,0.00061333244
It took one phone call and I was offered a job! I did not go through an in person or any other stage in the application. the application does not require a lot.,0.025776021,0.8229477,0.15127634
I was already employed there as a dorm lab monitor. One day I was talking to one of my supervisors and his supervisors was listening in on our conversation. That's when he decided to offer me the part time position.,0.00038645222,0.9990125,0.0006010879
Unfortunately it appears that they had already selected the candidate they wished to hire and went through the entire process without any intention of considering me as a potential hire. This has resulted in a waste of my time and energy.,0.9988908,0.00097593386,0.0001331931
Panel Interview Tell me about yourself? Why do you want to be a nurse? Why Adelphi? What are your strengths? What are your weaknesses? How do you manage time? What is mistake you made and what have you learned from it?,0.0012438528,0.99842834,0.00032779874
Sent them my resume. Emailed back and forth for a couple of days and then they emailed me a time and day to come in for the interview. The interview lasted about a hour and it was in front of 3 people.,0.99429226,0.0055651674,0.0001425633
Highly motivated and independent were key requirements for the opportunity.    Coordination of applications and interviews for the graduation program.  Full circle of work seeing the student start and in most cases complete the program with their masters.,0.003346197,0.0062970896,0.99035674
The employer will ask many questions about your experience of customer service and office work then she will let you know how busy is this job. The employer will try to know your attitude and how will you go through the work with time management and calm. The whole process is comfortable.,0.0024111478,0.9890477,0.008541151
The interview was conducted with very friendly staff and faculty. The questions were right on point and stayed true to your unique past experiences (a refreshing experience from the generic interview process).,0.00035874007,0.0013312786,0.99830997
Panel interview with behavioral and technical questions by 3 people. I submitted my application and resume online and received a call to come in for an inperson interview the following week.,0.18663529,0.81287634,0.0004883457
"I applied for the job and a few days later I was scheduled for an interview. It was a committee of three; individuals I would be working with if I was hired. During the interview as I described my current work experience one individual demeaned my title of Coordinator to a ""scheduler"" and didn't give me the opportunity to explain that that is not what I do. The same individual also said ""you have a lot of education but it doesn't seem like you put it to good use"". I was also told by another individual ""since your work experience is not extensive...do you have management experience?"". I found all of these statements to be insulting. If my 7 years of relevant work experience wasn't extensive and I didn't put my education to use then why was I called in for an interview in the first place? The people conducting the interview acted like they had somewhere else to be as if the interview process was a burden for them. At the end of the interview I was told that I would hear from them three weeks following the interview if I were to be selected for a second interview. Two weeks after the interview I was called and told that the position was filled...",0.99773216,0.0021175223,0.00015032628
Typical academic interview process. Submit requested docs and recommendation letters.  Phone interview shortly after. In my case there was a long break in between the phone interview and the in person interview.,0.998596,0.0012768541,0.00012712738
I was better than everyone that interviewed me. I was obviously over qualified. They were disorganized and lazy. Anyone could work there. Bad feeling about the administration. The parking is terrible. train to slow street too long,0.9970149,0.0027649333,0.00022024657
Standard phone screen followed by in person interview. Very odd combination of corporate environment and academia  but make no mistake they see this as a business disguised as a university and the students are customers you are expected to satisfy.,0.99690956,0.0029423304,0.00014812755
They ask resultsdriven questions. Show interest in your background and why you care about the position.  They also give you an opportunity to ask them questions discuss schedule etc. Overall the interview process is not stressful while it's quite formal it is led in a friendly atmosphere.,0.0025767533,0.026913093,0.9705101
The interview itself was good. The hiring manager was polite and professional. The interview envorinment was private. I was promised a result in a month. HoweverI never hear back.,0.0014718462,0.99727976,0.0012483872
I applied on paper at a job fair and was recommended by a friend at the table. They called me within the week. I went into a room with 2 supervisors and one of them talked for the most part. They explained the job and the responsibilities.  The interview lasted around 1520 mins and then I received a call later on in the week with a job offer.,0.0004558196,0.9983138,0.0012304636
Reviewed resume I walked them through it answered questions regarding previous experience. My background (business and marketing) did not really match the job (Accommodations Specialist) but they thought that I'd be a good fit in bringing a new perspective and fresh ideas to the office. Everyone was very nice. They explained me my responsibilities very clearly.,0.0012870978,0.98736435,0.011348588
I brought in my resume and I talked with her oneonone for less than 5 minutes. I knew the previous Cstep tutor and he recommended me for the position so he provided most of my information already. The interview was more of a formality,0.00075918745,0.9987877,0.00045321396
"Everything was done online they contacted you if they wanted to interview you. The only way to check the status of your application was to go online and see if the status read ""successfully submitted under review rejected""",0.0008584855,0.9988636,0.0002778831
I was called for an interview shortly after submitting my application. I met with three senior members of the department for about 15  20 minutes each. I was offered the job a few days later.,0.00043628862,0.9990734,0.0004903193
Easy very comfortable and informative. I was asked about my experience in graduate school what I was looking to learn and how many hours could I commit to the the internship.,0.0009128635,0.15544684,0.84364027
"The preliminary screening was about an hour long with the director. It was pretty laid back and the director seemed nice. Unfortunately they're looking for older candidates which in my opinion seemed a bit ""ageist"". Overall the interview process was quick and moved quickly but upon arriving it was a bit confusing. I was never told where to go or how to get into the building. The administrative staff seemed very sweet and helpful.",0.0018599656,0.99564916,0.0024908632
