Comment,Negative,Neutral,Positive
Nice teammates at the office,0.0002695225,0.0006074953,0.99912304
There is a social gap between the National staff and expats,0.99843615,0.0014096557,0.0001541671
Room for growth and friendly environment,0.00030295315,0.0004728779,0.9992242
Less pay and benefits for staff,0.99912435,0.000702731,0.00017298716
Great place to grow your career and learn make mistakes as well as get international exposure starting at entry levels of work. High levels of professionalism,0.0019164676,0.0013291374,0.99675435
Pay still needs to be competitive.  Benefits need to be improved for international staff as well as local staff.  You can get into precarious positions if you get involved in the organizational politics.,0.9937757,0.0060363696,0.00018786386
It has a religious Christian background,0.0007180665,0.9975636,0.0017184363
Salaries are a little more conservation little attention given to employee career advancement,0.996906,0.0029355376,0.00015843044
It is a seventhday adventist organisation that give me freedom to worship on sabbath.There are on job trainings that enhance my career and the prompt salary payments,0.00047341603,0.00040095774,0.99912566
There is no career development in regard to climbing up the management ladder. There is few staff motivation and no retention of staff.poor staff welfare,0.9991037,0.0007274423,0.00016879672
It pays salaries on time,0.8000621,0.089394204,0.11054375
it has all decisions taken at the top,0.0010187186,0.9985676,0.00041367745
To improve people's lives,0.9986494,0.0011818085,0.0001688455
Noi think downs for joining the organization,0.00060588965,0.99902,0.00037401807
AHF is great team with so many IT projects to learn from every single year,0.00032016542,0.0004377186,0.9992422
Working pressure can be too much sometimes as the program has over 52 sites in the country that require IT attention,0.9987205,0.0011049104,0.00017455089
Help those leaving with hiv /aids regardless of the ability to pay,0.00073064276,0.9986234,0.0006459869
Probably drug stockouts at the clinic,0.003036676,0.99657035,0.00039303934
They pay in time and the working environment is friendly,0.00048300842,0.0004390948,0.9990779
They end your contract before you know,0.9968803,0.0029685758,0.0001511735
Always get feedback on your performance,0.99763787,0.002219798,0.00014234325
Benefits need to be revised,0.0041689146,0.99533087,0.0005002773
Being able to support the vulnerable,0.0018055935,0.0028631643,0.9953312
Limited exposure in knowledge and growth,0.9988738,0.0010091293,0.0001170922
Transport to and from field locations,0.00056475785,0.988345,0.011090266
Very high staff turnover due to poor management,0.9991411,0.0006907597,0.00016819769
Equal opportunity and good working environment,0.00032395023,0.00022894636,0.99944705
Salary scales are slow compared to the rivals,0.99837756,0.0015100207,0.000112293645
it has the best core values and missions that are for pro people,0.00034404342,0.00080328016,0.9988526
salary is low since the standards of have increased,0.9990502,0.0007872116,0.00016255325
i acquired management skills in multi cultural setting,0.0004910238,0.98495066,0.014558349
The contract ended shortly while more work need attention,0.0033363022,0.99645585,0.00020789124
Good and appealing to continue work,0.00019168943,0.0003744145,0.9994338
Little worklife balance and time to do other personal stuff,0.99799514,0.0018483232,0.0001565593
Great organization with good pay.,0.001134722,0.00065970083,0.99820554
Work overload on staff with too much pressure,0.99908364,0.0007259194,0.00019046589
gd working condition and payment,0.025031235,0.9743333,0.00063539954
workload with no overtime compensation,0.99910164,0.0007111642,0.00018726794
Baylor Uganda Pays well her employees and have well writes systems to support her operations,0.02840007,0.15889432,0.81270564
There is discrimination in staff development. Most units are understaffed which creates a lot of work to staff and ultimately lead to staff turn over. There is no all staff involvement in decision making. Decision made at senior management do not fit the real work environment since people that do the actual work are not included. There is a tendency of working in silos which makes work environment difficult.,0.99909484,0.0007484237,0.00015672387
good work ethic and training,0.010267269,0.008368818,0.98136383
too much work for individual staff,0.9988254,0.0009778187,0.00019677334
Good employer especially for starters,0.00051537296,0.000976154,0.9985084
No development prospects as places are limited,0.99890494,0.0009868201,0.00010827706
because of the vision of giving a fulfilled life for every HIV child and their family in Africa.,0.065263726,0.20657377,0.72816247
no down side of the job,0.0039458736,0.9927961,0.0032579764
Baylor has good processes and systems that helps to improve working experience,0.030670205,0.087594666,0.88173515
Baylor doesn't consider non medical employees as more important in delivery the over all objectives.,0.9983687,0.0014875797,0.00014378139
Flexibility worklife balance benefits growth,0.0006876663,0.026151398,0.9731609
can't think of anything to be honest.,0.00037041842,0.99926096,0.00036850697
BRAC NGO is impacting many lives in Uganda and Africa as well.,0.38453472,0.61401737,0.001447877
BRAC NGO should be expanding more and touching many other lives.,0.0028565906,0.9962469,0.000896573
Am hard working trustworthy honest,0.0017750877,0.9973436,0.0008813624
It will be great working with this organization,0.00058266905,0.001187508,0.9982298
Exciting place to be and grow in your career,0.0001743533,0.0001958106,0.99962986
Tiresome with little time off,0.9991755,0.0006592432,0.00016517035
It's reliable and gives employees room to exercise there skills and grow there career,0.0012604148,0.0011085718,0.99763095
Sofer I have not seen any bad in my bank,0.00049005606,0.99898094,0.0005290168
BRAC has a gender friendly environment,0.00015467248,0.00020890415,0.9996364
Salary structure is a bit lower than the market,0.99892265,0.00094054354,0.00013687876
Free and fair during interviews,0.0017793045,0.007179428,0.99104124
