Comment,Negative,Neutral,Positive
Interview with HR followed by a panel interview online. The panel consisted of five (assistant) professors from different locations of HCT across the Emirates. Afterward a final HR call on the package. Overall very smooth and quick process.,0.001367376,0.84548247,0.15315016
Introduction from HCT side in 5 minutes Introduction from the candidate side in 5 minutes Candidate presentation 10 minutes (selected topics) Interview questions 15 minutes in coding and about academic background.,0.00031285724,0.99697435,0.0027127874
Not a structured interview and it depends on your connection in the organization. You might get interviewed by people who have  a Master degree or people from East Asia which means you won't get the job if you are really skilled,0.9972149,0.0026649314,0.00012014857
"I was not expecting that HCT for the 2nd time will reject my candidacy based on my religion's sect. Both times I have successfully completed my technical as well as Executive Dean interview with position remarks. I got salary details with allowance but the last step is when they send the applicant the ""Introductory form"" which decides whether you will be hired or not. I have been rejected both times and upon search on the internet I concluded that if you are a ""Shia Muslim"" there is no space for you in HCT whatever you are a skilled and qualified professional person. They still doubt your honesty and denies to get a job for which you qualified successfully for the series of interviews.",0.9966671,0.0031758172,0.00015702339
Depends on department. Generally questions about how you deal with students in difficult situations. For example  if you have a student who is giving you problems in class and does not follow instructions.,0.9689031,0.030932257,0.00016460608
I applied in February  and I received an interview request after few months they sent  me an email  containing the date and the timing and also describing the interview process the arrangements  and the committee members,0.00044323975,0.9991903,0.00036645622
Not good they didn't care about my knowledge as much as my home country I was pumped by the fact they didn't care about all the degrees that I have,0.99800986,0.0018422712,0.000147907
They contacted me over the position asking for a next day interview with teaching demonstration I asked for a two days delay as I have my job and I am busy.  The panel consists of 2 PhD holders from the department I intend to join  HR officer. The interview was smooth and friendly different technical questions related to my experience and to the position I answered most of the questions the questions I didn’t answer where not related to my background at all.  They sent me an email the 2nd day saying the interview came with very positive feedback and we need to continue the hiring process after the team and HR agreed on me. So it is a matter of time to receive the offer or joining letter. Then they asked for a bunch of documents references and certificates which I all provided and the process was going smooth until here. THE SHOCK is that after 3 weeks they sent me a rejection letter as the committee (higher management) rejected my application without mentioning any clear reason which left me in denial and confusion????I contacted my references to make sure they provided a good feedback on me and they confirmed and sent me a copy of the reference letter. It was more than perfect. The management or what ever committee was there who didn’t interview me didn’t see me and seems like they didn’t take in consideration the panel positive feedback  good references just rejected my application for no clear reason! Note: it was not related to security clearance as mostly this is the critical part in the hiring. Security clearance came clean already as the HR mentioned after I called them. I called the HR to ask for the reason she didn’t know it came from the management Even the HR mentioned that everyone is upset ad they wanted you in the department.Anyway hct still a good place to work in as I asked some employees but I didn’t get lucky this time.,0.78118163,0.21713804,0.0016803202
Interview process is generally Panel Interview extremely comprehensive at times serialized interviews over a period of 2 to 3 months for several campuses. Expect either Face2Face or via Video... Very professional,0.0039204443,0.94484556,0.05123398
"The overall feeling can be described in one word"" uncomfortable "" the video conference interview makes you feel really ode... i believe that when you interview people face to face is more respectful way the interview it self was lame as other previous feedbacks here about the interview said that there is one guy plays the role of ""mean interviewer"" this guy was really disrespectful started stating technical questions assuming that you are aware of EVERY single field of IT however the CV tells that im not involved in that topic i felt that his point just to let you feel that you are worthless... the same guy started to ask about my the research activities and asked why my name is not listed in Scopus ranking as a researcher.. i debated him about this that i am already indexed any i have a paper published in journal which is indexed by scopus. After the interview was done i looked and searched for this guy's research history to find out that his last published paper was in 2015 ... 3 years ago... and its even not published in journal indexed by scopus. The other members gave several questions most of them are technical "" which i still didn't understand .. whats the point of such a questions"" ...i suppose that getting more information about my teaching methods is much important than such a shallow questions. Overall it was time waisting disappointment and  bad experience.",0.9929691,0.006879808,0.00015107967
