Comment,Negative,Neutral,Positive
Prepare MR Flowing LPO SIV SRV Check Material,0.00036565767,0.9961761,0.0034581663
Not flowing to LPO  Not checking material before receive,0.99821895,0.0016588343,0.00012222528
Highly knowledgeable and experienced physicians,0.016082408,0.38326088,0.6006567
The infrastructure of the facility needs to be improved,0.617415,0.3791439,0.0034410756
Lot of networking opportunities. Learn leadership skills.,0.000227563,0.00037401155,0.99939847
None that i can think of,0.00026611835,0.99923444,0.00049949466
There are a lot of external resources available at Dubai.,0.0005298914,0.9648872,0.034582816
As a nonprofit organization in this country it isn't that easy to find similar organizations in nonprofit sector.,0.9981027,0.0017529997,0.00014426728
Being a Financial Accountant to work at Al Falah University,0.0004792529,0.9939282,0.005592483
There is nothing downsides of Al Falah University,0.00038759442,0.9984573,0.0011551821
Hardworkingtry to do my besthonest,0.82360643,0.17582364,0.0005698491
Confident level little bit low but I will improve continuously.,0.05314471,0.9465097,0.00034558284
you can balance your life/work,0.00074289984,0.9975721,0.0016850098
the work environment wasnt healthy,0.99909735,0.0007474975,0.00015521927
career growth career growth career growth,0.00058167527,0.9780115,0.021406906
i would like to join your prestigious university,0.0008467544,0.9976949,0.0014582642
worst Work environment no one care what you are working on! and if there is a problem happen and you are not related to it they'll put it on you! and you'll work every time at home and you'll work in different things not related to your job title!,0.9986864,0.0011735007,0.0001401258
worst Work environment no one care what you are working on! and if there is a problem happen and you are not related to it they'll put it on you! and you'll work every time at home and you'll work in different things not related to your job title,0.9986297,0.0012319464,0.00013848345
Good people and colleagues and environment,0.00020169317,0.00023366514,0.9995646
pro admin one day off,0.0004378699,0.99752396,0.0020382125
The job is very good,0.014803306,0.6819913,0.30320543
I don’t see any issue working here,0.0006477102,0.99877864,0.0005736463
Good environment and workload is fine,0.0041615195,0.9744915,0.021347003
Operates as a start up company,0.0014247509,0.9957066,0.0028686246
The mission and vision of the company are very admirable.,0.005045584,0.019623766,0.97533065
 Very limited for growth. Salaries are very low. Job stagnation. Overworked. Limited 21stcentury vision. Very hierarchical and power is lies only at the top.,0.9991923,0.0006484736,0.00015921824
Great people to work with.,0.0002585949,0.00031120086,0.9994301
To many. No appreciation for hard work being the main one.,0.9984836,0.0013555562,0.00016093366
Non at all cons only,0.00029662938,0.9987626,0.0009408324
Unprofessional Management and HR  racist and discriminates against nationalities and persons unethical practices and treatment to employees no work life balance and management doesnt care about employees well being company is treated like a family run business management takes everything personally and takes irrational decisions based on the same notion,0.99916124,0.0006720764,0.000166689
If you are a working mother you will appreciate the flexible hours and the central location in the city.,0.034395136,0.93401396,0.03159094
Lack of Management and communication.,0.99912125,0.0007243976,0.00015430451
friendly team and good culture,0.00016472925,0.00020514597,0.9996301
no growth and poor office premises,0.9990569,0.0008037541,0.00013938356
Good working hours early nights,0.0006757126,0.0005243078,0.9987999
Low salary is bad but I think they open,0.99883074,0.0010144967,0.00015480831
Work life balance  equality and diversity and inclusion in every area of work  great suppprtive management,0.004024719,0.0054217936,0.99055344
Regulatory processes are very stringent. Things happen very slow,0.99905807,0.0007930489,0.00014882797
Lots of pros in working there,0.00095884746,0.9429761,0.056064997
No down side that I could think,0.00033732312,0.9990977,0.00056501984
 Support for initiatives  Positive working environment  EDI  Transparency and zero tolerance for fraud and bullying  They value people,0.0004948003,0.00032663404,0.9991786
 Can be bureaucratic  Some top management carry the blaming culture  Sometimes top management don't care about work life balance yet preach it in meetings.  UK appointment staff receive massive benefits and pay despite EDI policies and 'save money' advice is used when basic improvements are required.,0.99867624,0.0011074829,0.00021614257
 Wonderful and friendly people to work with  Great policies in place for Equality Diversity and Inclusion  Flexible working hours in some departments ,0.00018787231,0.00016289414,0.9996493
