Comment,Negative,Neutral,Positive
Interview consisted of two small written tasks followed by an interview panel of two managers. Tasks were on a time limit. Managers asked a series of questions and scored the questions against success.,0.99707603,0.0028138799,0.000110011475
It was overall easy and straightforward. Got a campaign email task before the interview and then had a positive interview experience where I was asked competency based questions demonstrating skills like teamwork organisation time management communications,0.0054629026,0.54885876,0.4456783
Quite a standard structured interview conducted by two panellists. The interviewers listened intently and were interested. I felt like the experience was good. It went so well I was expecting to be taken to next stage but clearly was not what they needed.,0.0024808145,0.99615794,0.0013612098
application form with personal statement activity demonstration and lesson plan for young children. interview with 2 staff background linked to EYFS curriculum previous experience what you could bring to the job,0.00029157533,0.9980107,0.0016977614
Application process asked for CV and cover letter answering specified questions. One hour task at 8am before speaking with anyone from the charity. A one hour interview with panel of 2 over video call.,0.9934141,0.0064298925,0.00015611912
It was a Teams call with Two interviewers took around 45 minutes. There was Only 1 interview in the process. The role was Offered to me immediately after the call. There was no paperwork or forms to complete,0.9673623,0.032298252,0.00033948311
Interview was fine but very informal Felt slightly rushed and there where a few technical problems Staff who contacted before the interview were very friendly and informative.Process for applying was very easy.,0.002389996,0.96955687,0.028053178
I found the post on Glassdoor and LinkedIn and applied directly on the charity website.  The process was smooth I was contacted by the recruiter AnneMarie. She was very lovely and responsive.  Later on I had a Teams interview with the team and I cannot stress more everybody I have met so far had been very friendly and welcoming.   They were very clear when to expect to hear back and they delivered. Feedback was also offered for those who'd like them.,0.00076061324,0.00410323,0.9951362
Panel was understanding of nerves and were patient. The interview itself was thorough and covered multiple aspects of what the role would be. Overall it was a positive experience and I was told of the outcome only hours later.,0.002136082,0.82061774,0.1772462
Group interview observed whilst interacting with others in a group activity task which was relatively easy. However trying to communicate and voice my opinions was not easy as people tried to get a word in. Just be confident and be lengthy with your opinions. Although I feel group interviews are not a fair way of assessing someone.,0.018656772,0.9807678,0.00057548005
Typical process although had Skype interview initially to discuss the role with the Senior Partner which was helpful to align my requirements with what they were looking for in the role and provided an opportunity to ask more about the organisation.,0.001991606,0.95367366,0.04433472
Really good overall felt very informed and they helped show me off. I felt comfortable throughout and was able to ask questions at the end. Questions provided before and feedback after!,0.0012648783,0.10369426,0.8950409
