Comment,Negative,Neutral,Positive
Large support system open new adopting new ideas,0.0002015089,0.00027054458,0.99952793
I have no negative aspect to comment.,0.00034539987,0.99908996,0.0005646708
1. Employees have chances to enhance work productivity and efficiency by career development plan. This plan can be short training courses higher degrees etc. based on individual's needs and it is much greater that you can receive financial support (of course with conditions). 2. Employees can seek support from our peers and seek to belong to a group. The team always come together to deal with whatever problems are out there. Usually receiving letters from Mr. Presidents we feel a sense of unity and employees will no longer just feel that they’re working for themselves. We are now working towards something bigger than ourselves and as a team.,0.15466982,0.7418265,0.10350368
Sometimes you will receive very urgent request to fulfill the task,0.00096007175,0.998591,0.00044888598
That is so lucky for me to work at AHF and for AHF bosses and clients. I can find many good value to work with organizaion and management. The working environment is very open and fairly for all staff. This is my hornor. I used to worked for a largest private hospital before joining AHF but it was the best choice ever of ly life to decide moving to AHF home. Thank you for giving me this chance.,0.00030538416,0.00047645412,0.9992181
There is nothing which makes me think negatively until now,0.00036560567,0.99927217,0.0003622022
The best reason for me to work for AIDS Healthcare Foundation for long time is to save people's lives globally. AIDS Healthcare Foundation provides a very friendly and professional working environment. Working for AIDS Healthcare Foundation help me to be more independent develop and be respected.,0.00028463014,0.00037130518,0.99934405
Actually I do not have any downside working for AIDS Healthcare Foundation,0.00046091885,0.99902916,0.0005099031
As an AIDS Healthcare Foundation employee. I have given the opportunity to work in a good environment. AIDS Healthcare Foundation is really treat employees with respect. I feel proud of AHF’s contribution to make a difference in our patient's lives.,0.00034540752,0.00037292647,0.9992817
So far I have no cons,0.00039226864,0.99901474,0.0005929421
Working as a good team with good instructions and supports.,0.00037810084,0.00036588503,0.99925596
I have no negative comments,0.0004299188,0.9990427,0.000527327
Nice environment willing to support,0.0002235929,0.00022546545,0.9995509
a lot of tasks hardworking and tracking,0.9984841,0.0013517574,0.00016411633
Teammates are friendly and supportive,0.00019874691,0.00023109857,0.9995702
Nothing to complain right now,0.00037968237,0.99922633,0.00039403912
Have model to develop your leadership skill,0.0042712046,0.98373747,0.01199132
Should mange my time to be a worklife balance,0.00068769703,0.9987029,0.00060939457
Helps to develop your leadership skills,0.0023921966,0.0038395037,0.99376833
Low payment since it is a notforprofit organization,0.9991691,0.0006585265,0.00017235351
Many international exchange activities for members Lots of training,0.00024820096,0.0006300482,0.9991217
The workload is heavy miscommunication between members and leaders,0.9989291,0.0009296987,0.00014117685
 Amazing people great teamwork experience with respect appreciation and support for one another. Meet people who you can learn a lot from  Work in a corporatelike model: can learn from the system  Have great visions (Strive to achieve peace and fulfillment of humankind's potentials) and value sets (Leadership qualities AIESEC values etc.) to learn from  Lively fun might be suitable for those wanting a youthful college experience  Make international friends,0.00021280954,0.00033115444,0.999456
 Need to run errands  Not a fully professional environment  Few measurable impacts on solving world issues but has impacts on human development,0.99883,0.0010142409,0.0001557995
The diverse team with 6 nationalities working in one year. Everyone was very straightforward and all striven for the common results. Working time was very flexible. Strongly recommend for senior students and fresh graduate to get the first global working experience.,0.00082792004,0.002830483,0.9963415
The team was all new at the beginning. Certain growth map & mentor was not supported in time for team members to perform.,0.99831116,0.0015796667,0.00010909897
 Awesome working culture  Working with a team of youth but stakeholders can be the celebrities of the business world  Freedom to fail learn and endless opportunities of growth  Make friends for life,0.00033012588,0.00028719386,0.9993826
 Difficult worklife balance  People get trapped inside the AIESEC bubble and fail to realize that there is a huge world outside too,0.98822814,0.011331079,0.00044086148
 Very people oriented: leaders are passionate about each member's personal development  A lot to learn if you are new to the business world  Global experiences,0.0034068006,0.92332935,0.07326384
Most of the members are youths who lack handson experiences If you work for a local chapter there's no salaries whatsoever.,0.99877626,0.0010689498,0.00015483798
INternational environment Various positions differing in job descriptions to try,0.00030368866,0.99893886,0.0007575079
it values professional but still embrace what represents a studentorganization,0.0020666947,0.9955865,0.002346681
