Comment,Negative,Neutral,Positive
Hard working team  sensible salary,0.79928964,0.19771145,0.0029989458
lack of capacity building and training,0.9990928,0.00075717893,0.00015011508
INGO which really help all people in need,0.0009299527,0.006086865,0.9929832
Don't train staff and build their capacities,0.99895585,0.0008787278,0.00016535514
good environment work with them,0.00018804563,0.00021801653,0.9995939
little salary copmaring with other organization working in the same feild,0.9900967,0.009706016,0.00019733998
Projects integration (WASH FSL Nutrition and Health),0.00025393936,0.9898538,0.009892281
Low salary grade and decisions at personal level,0.99915767,0.00068258285,0.00015972965
Honestnon benefitand defeat poverty  anybody wish to work with CARE international,0.14865753,0.8503909,0.0009515742
No disadvantages I have observed in CARE international,0.00030066315,0.9991935,0.0005058919
Good workplace environment where staff are treated with respect and dignity,0.00039288576,0.00029476368,0.9993124
they do not have a standard reward system,0.99886024,0.000979609,0.00016013594
friendly environment good salary and access to free online courses provided by CARE,0.00023350948,0.0002017011,0.9995648
some unsavory work politics not completely fair sometimes (subjective),0.9984805,0.0013914759,0.00012808215
provide urgent assistance to people in need no matter where they are,0.53700167,0.4259463,0.037052047
Overload tasks  and less capacity building,0.9990876,0.00074358255,0.00016887626
Committed team passion for displaced affected persons localisation,0.0018570215,0.0035910439,0.99455196
Fastpaced work in the field,0.014574929,0.2614588,0.7239662
Was given the award to be the best NGO in the world Salaries are decent Working Environment was very friendly Staff members are very well taken care off,0.000678018,0.0010309927,0.99829096
Standard Salary Scales throughout the world,0.000793404,0.99853265,0.0006740041
A great compensation and wellness package,0.00042292694,0.00036888767,0.9992083
Organizational culture could be better,0.00077621854,0.9987116,0.000512229
Good environment to have more experience,0.00036468398,0.0008223443,0.99881303
there is no thing to write,0.0017302515,0.99785453,0.000415115
Learning opportunities for staff are many,0.0005891108,0.0036756783,0.99573517
Organization culture could be better,0.0006667531,0.99873394,0.00059931114
 Gain experience with fresh people.  Get to meet nice coworkers and socialize.  Support community with our coworkers,0.00018703888,0.00020944647,0.99960357
 Exploiting Daily worker's wage and pay below minimum.  They don't preserve the dignity of beneficiaries by forcing them to take their pictures against their will if they want to receive services.  Only selective people who have friends in higher ups are allowed to receive DRC employees privileges while the rest receives non.,0.9978257,0.0020082325,0.0001661086
Company general reputation. Reputation of key leaders. Admiration of products/services. Admiration of other company initiatives (marketing campaign community involvement training programs) Company culture and values.,0.0011593801,0.069421835,0.9294188
The High Turnover Outfit Pristine and ideal image in marketing materials and publicity however the daytoday operation is far from glamorous. Only the leaders have what can pass as offices staff is dispersed amongst shoddy cubicles lighting is awful technology is from the ’90s and let’s not get started on the break room.,0.99610054,0.0035035077,0.0003958748
Learn a lot Working with expert from outside who been working in conflict area,0.0008041325,0.9977673,0.0014284492
Not good in benefit and employee should receive salary for one month as a benefit,0.99900097,0.0008485739,0.00015050192
Dealing with positive people is very good,0.00076422206,0.01720996,0.9820258
