Comment,Negative,Neutral,Positive
Exposure environment and capacity building,0.00034717828,0.003236542,0.9964162
Salary long working hours and management,0.9991872,0.0006305957,0.00018226674
They have a technical adviser/mentorship program,0.0032015606,0.49986717,0.4969312
Does not pay really well,0.99915576,0.00068841875,0.00015583175
Great global support from other CARE member countries and parent organisation in the USA.,0.00016821228,0.0002809607,0.99955076
beaurocracy in making critical decisions,0.0025823987,0.5550018,0.44241574
Retains staff and has good health benefits,0.00048099016,0.000953326,0.99856573
Employment is project funding dependant,0.9827255,0.017034357,0.00024015855
It just everywhere touching lives,0.00135912,0.99219996,0.006440898
With Catholic relief service one will never go wrong,0.0011871831,0.015629712,0.98318315
Great company culture and good team spirit,0.00020198082,0.00019208333,0.99960595
I have not encountered any cons during my time,0.0003382358,0.9992385,0.000423309
Great working environment and vo fictions of service,0.0012359971,0.0009414909,0.9978225
Project staff dont often get the same career development opportunities as main country program staff,0.9983027,0.0015637332,0.00013358421
This survey is very useful and user friendly,0.00014936712,0.00019716742,0.99965346
The survey sometimes asks questions that the participant was not looking to answer,0.85987496,0.13981491,0.00031015847
Great work environment. Lots of learning opportunities. The management is so far responsive to needs of staff,0.00028701065,0.0002228175,0.99949014
Limited remuneration. Rigid policies which are not on equal terms. There is need to harmonise the per diem rate to reflect costs trends. Need more emphasis on Catholic identity,0.9984976,0.0013643607,0.00013804216
Growth Development Skills Flexible Good,0.00021258087,0.0015377301,0.9982497
Routine Pay Less Okey Station,0.0005124897,0.99907637,0.00041108526
Good work culture and environment for growth,0.00020568114,0.00019197771,0.9996024
Too some extent there was micro management of employees,0.95351595,0.046276093,0.00020802382
Social Accountability think tank in Zambia,0.0011936302,0.9917778,0.007028573
Poor HR Management in terms of staff issues e.g conflict management etc,0.99910116,0.00074088766,0.00015787304
I left EGPAF for personal reasons but want to share that they are an amazing group passionate caring and great at what they do.,0.00057341316,0.0036316512,0.9957949
I dont have any cons.,0.00046066576,0.9987722,0.00076707994
Excellent work environment provides platform for career development.,0.00022698208,0.00020129012,0.99957174
No cons experienced during my time.,0.00028442126,0.9992386,0.00047694283
The organisation is Development Oriented,0.0011615393,0.0017192506,0.9971192
The organisations project Designs too comprehensive,0.014296138,0.8544576,0.1312462
Decent salary opportunity for upward mobility while sharpening skills,0.0003458177,0.00029860294,0.9993556
Often large workloads needs better oversight of staff performance,0.97363055,0.026022768,0.0003466936
Good systems and adequate internal resources,0.0080867745,0.0063063134,0.9856069
Jobs are project specific so no clear progression plans,0.0057048886,0.9940142,0.000280978
Great work environment very organised and well established systems.,0.00038337774,0.00032342688,0.9992932
Job are project based so no career advancement beyond life of the project,0.9989524,0.00091955817,0.00012804399
Training opportunities with good learning development online options. Good learning opportunities. Family friendly organization.,0.00017741966,0.00018016087,0.9996424
The salaries are on the average side.,0.99898607,0.0008474667,0.00016651743
capacity building and Innovative team,0.0002791619,0.000401399,0.99931943
Nothing of Note apparently all good,0.00038710114,0.99900526,0.000607692
Alot of opportunities and room to learn,0.0009099459,0.0034594336,0.9956306
Too much bureaucracy sometimes making it difficult to carry out job functions,0.9990797,0.0007493465,0.00017092198
Low salaries with little incentives,0.9991009,0.0007097741,0.00018934197
Good professional environment for career development and enhancement,0.00019245129,0.00019704521,0.9996105
It gave me career growth,0.0011942298,0.017508576,0.98129714
The period was short with no possible extension,0.99802375,0.0018585265,0.00011774607
Help the community on issues of financial services,0.08534254,0.62841994,0.28623754
Lack of professionalism among staff. Needs more training,0.9989706,0.00086724997,0.00016213283
Networking. Training Institute is really nice but a let down if your host org is lacking.,0.052589867,0.92660207,0.020808015
1. They prioritize appeasing their NGO network and the incountry partnerships over the support and safety of their fellows. Will send you to a newly recruited organization without even telling them. Will side with that organization and not support you their talent. (It can work out if the organization is wellfunded and has had several rounds of fellows previously. But definitely not the norm for fellows.) 2. Dont believe the GHC family hype. They will stand by idly if your organization mistreats you. If the org failed to arrange housing dont expect GHC to find something for you. Nope you'll be backpacking to work for months literally. They say they provide furnished housing dont be surprised if you spend your stipend on furniture (fridge stove etc) They oust people for little to no reason. Was told I would be living alone (the sole reason I left my former fulltime position) but was placed in a house with a racist roommate. When I complained I was put on 90 probation. i begged for help and was told I was wasting GHC resources. Dont bet your last on this or you could wind up back home unexpectedly (without any warning) and jobless. Or worse missing like Stukey. Google GHC and stukey to learn about that debacle. They only responded after Zambian media got involved.  3. For them to tout professional development as they do do not expect it to be guaranteed for everyone (only a privileged few). If thats what you're looking for ask the incountry org if they offer it. If not dont go because GHC will do nothing for you. My org basically used us for free grunt work. We werent allowed in trainings conferences or barely on work trips. Even though we both carried multiple masters degrees they called us Data Entry volunteers. When we complained GHC shushed us. My org later cooked up some untrue story completely unrelated to their immense satisfaction with my work quality (likely because i did the work of 4 senior staff members). Nobody informed me there was an issue but a tribunal was held and it was decided I should go (even though my probationary period expired no one ever even contacted my direct supervisor). The timing of everything was perfectly contrived. What about that helped me develop professionally? Nothing  The recruitment is directed towards entry to mid career professionals but they dont respect them as such in Africa. If you are such and are used to being viewed as a colleague go with GHFPII. Its more official and supportive for adults accustomed to earning and performing.,0.9982033,0.0016452323,0.00015151453
a very good work culture,0.0003414221,0.0012696069,0.998389
the environment is very much fair,0.0005199382,0.9981262,0.0013538126
 Focus on social impact  Intelligent driven kind colleagues  Rigor and truthseeking  Innovation,0.00065430533,0.0053718565,0.9939738
 Minimal need to be prepared for technical work and irregular hours sometimes,0.9944455,0.0053584846,0.00019611738
