Comment,Negative,Neutral,Positive
Working hard every day of the week,0.99868315,0.0011362506,0.00018061406
Not to harass clients who are the community,0.00046417216,0.9988875,0.0006483469
they gave a good salary,0.06379839,0.03603411,0.9001675
they delayed paying salaries poor working resources,0.9991684,0.00066380703,0.00016786974
AHF is an organisation that has their clients at heart. AHF is swift/nimble in its response. While the WHO was still debating on whether to declare the Covid19 as a Pandemic AHF was already calling for it be declared a pandemic. AHF has transformed from an organisation that just deals with HIV but is not shy to take on any disease that threatens humanity. Case in point is the Ebola and more recently the Covid19. I am so proud to be associated with such an organisation.,0.051149327,0.7469208,0.20192982
I do not regret joining such a vibrant organisation.,0.011332697,0.15803896,0.83062834
Good learning experience and great team work,0.00031002233,0.00025476434,0.99943525
Job requires patience and hardwork,0.9846601,0.015071103,0.00026883357
good humanitarian work good work ethics,0.0008158128,0.010384234,0.9887999
limited time allocation for field work due to new lockdown restrictions,0.9990582,0.0007924974,0.00014933186
Good Working Environment and Staff Benefits,0.00020959912,0.00019254413,0.99959785
Top Management stayed in positions for too long,0.9980235,0.0018377515,0.00013872444
Good work culture and ethics,0.00034421045,0.00038967567,0.9992661
Dependent on head office regional offices can not make decisions,0.9990357,0.0008224437,0.00014185421
Its a company with excellent working conditions and there is a lot of on the job trainings offered.Its renumeration is good and it offers greater career advancement if you are interested.,0.00054428616,0.00075646973,0.9986992
The work depends on funding.They dont employ full time.They have contractswhich are mostly less than a year.,0.9990503,0.0007986611,0.00015101214
The work done by CRS benefits those who are less fortunate than we are.  It was important to me that I was helping out another person as I worked,0.0005177462,0.0013437205,0.99813855
CRS is too big a company.  There is a lot of discrimination; Managers have the ability to fire you because of personal differences espcially in the field offices,0.9989537,0.000877243,0.00016895431
it is well focused organisation with clearly set goals. There is team spirit,0.0008211106,0.0013357812,0.99784315
too much church related operation it end up mixing with caritas,0.5629742,0.43631017,0.00071560073
open and multicultural environment for all staff,0.00024137256,0.00024828114,0.9995103
none so far in the past three years,0.0002691758,0.999108,0.00062280934
Good work ethics and accountability,0.0016041811,0.0015106392,0.9968851
